MS8607 Demo with MUX control for TE Arduino Weathershield
Temperature , Pressure, Humidity 
26.78, 852.70, 22.76 
26.77, 852.67, 22.74 
26.78, 852.70, 22.75 
26.77, 852.46, 22.78 
26.77, 852.67, 22.80 
26.75, 852.86, 22.57 
26.72, 852.59, 22.77 
26.73, 852.83, 22.74 
26.70, 852.34, 22.92 
26.69, 852.74, 23.01 
26.69, 852.53, 23.07 
26.69, 852.53, 23.08 
26.69, 852.53, 22.78 
26.69, 852.74, 22.81 
26.72, 852.59, 22.96 
26.73, 852.62, 22.99 
26.72, 852.59, 22.95 
26.72, 852.59, 22.98 
26.69, 852.31, 23.06 
26.69, 852.74, 23.13 
26.65, 852.68, 23.16 
26.65, 852.47, 23.45 
26.67, 852.71, 23.42 
26.69, 852.53, 23.38 
26.69, 852.53, 23.36 
26.69, 852.53, 23.37 
26.70, 852.56, 23.31 
26.72, 852.59, 23.28 
26.75, 852.64, 23.25 
26.75, 852.64, 23.24 
26.75, 852.64, 23.27 
26.77, 852.46, 23.29 
26.77, 852.46, 23.34 
26.78, 852.49, 22.97 
26.78, 852.49, 23.32 
26.78, 852.49, 22.71 
26.77, 852.67, 23.29 
26.77, 852.46, 23.45 
26.77, 852.25, 23.45 
26.78, 852.49, 23.38 
26.78, 852.49, 23.35 
26.80, 852.52, 23.36 
26.83, 852.58, 23.35 
26.83, 852.37, 23.32 
26.83, 852.58, 23.30 
26.85, 852.40, 23.26 
26.86, 852.43, 23.28 
26.86, 852.43, 23.29 
26.88, 852.46, 23.28 
26.86, 852.43, 23.27 
26.89, 852.49, 23.32 
26.91, 852.30, 23.36 
26.89, 852.49, 23.42 
26.89, 852.27, 23.45 
26.89, 852.49, 23.45 
26.89, 852.49, 23.50 
26.88, 852.24, 23.56 
26.86, 852.43, 23.62 
26.85, 852.61, 23.66 
26.83, 852.37, 23.71 
26.81, 852.55, 23.74 
26.81, 852.34, 23.74 
26.83, 852.37, 23.73 
26.81, 852.55, 23.75 
26.80, 852.31, 23.77 
26.81, 852.55, 23.82 
26.81, 852.55, 23.78 
26.83, 852.37, 23.75 
26.86, 852.64, 23.71 
26.86, 852.43, 23.74 
26.83, 852.58, 23.78 
26.78, 852.49, 23.13 
26.73, 852.40, 23.33 
26.72, 852.59, 23.72 
26.72, 852.37, 23.95 
26.73, 852.40, 24.05 
26.75, 852.43, 24.06 
26.75, 852.43, 24.10 
26.75, 852.43, 24.14 
26.78, 852.49, 24.19 
26.80, 852.52, 24.31 
26.80, 852.31, 24.37 
26.80, 852.52, 24.12 
26.81, 852.55, 24.04 
26.83, 852.58, 24.08 
26.83, 852.37, 24.38 
26.85, 852.40, 24.74 
26.86, 852.64, 24.61 
26.85, 852.61, 24.55 
26.85, 852.40, 24.45 
26.81, 852.55, 24.54 
26.77, 852.46, 24.64 
26.77, 852.25, 24.66 
26.77, 852.46, 24.72 
26.72, 852.16, 24.80 
26.73, 852.62, 24.82 
26.72, 852.37, 24.45 
26.70, 852.56, 24.74 
26.72, 852.59, 24.83 
26.70, 852.56, 24.97 
26.72, 852.37, 25.11 
26.70, 852.56, 25.19 
26.69, 852.53, 25.24 
26.70, 852.56, 25.22 
26.72, 852.37, 25.25 
26.72, 852.59, 25.35 
26.73, 852.40, 25.57 
26.73, 852.40, 25.67 
26.73, 852.40, 26.22 
26.77, 852.46, 26.29 
26.75, 852.43, 26.13 
26.75, 852.43, 26.04 
26.77, 852.25, 25.89 
26.75, 852.43, 25.73 
26.73, 852.40, 25.81 
26.70, 852.34, 25.83 
26.65, 852.47, 25.80 
26.65, 852.47, 25.71 
26.62, 852.19, 25.66 
26.64, 852.22, 25.82 
26.64, 852.44, 25.51 
26.65, 852.47, 25.46 
26.64, 852.44, 25.60 
26.64, 852.44, 25.45 
26.65, 852.25, 25.56 
26.62, 852.41, 25.61 
26.61, 852.38, 25.86 
26.59, 852.13, 25.64 
26.59, 852.56, 25.64 
26.57, 852.32, 25.64 
26.54, 852.47, 25.65 
26.56, 852.50, 25.81 
26.53, 852.23, 25.64 
26.51, 852.41, 25.78 
26.51, 852.20, 26.00 
26.48, 852.35, 25.87 
26.53, 852.44, 25.80 
26.53, 852.23, 25.93 
26.51, 852.41, 25.86 
26.56, 852.29, 25.95 
26.54, 852.47, 26.13 
